Test,Year,Month,Days,Closed Equity,Total Equity,Total Equity Gain,Gain%,C Risk%,T Risk%,CE DD%,TE DD%,Trades
1,2012,10,31,356233.36,360200.09,-23511.41,-6.13%,5.31%,6.36%,0.00%,6.13%,2
1,2012,11,30,366747.07,365733.14,5533.05,1.54%,10.59%,10.35%,0.00%,4.69%,2
1,2012,12,31,366568.46,366188.22,455.08,0.12%,9.78%,9.69%,0.05%,4.57%,2
1,2013,1,31,362570.67,404188.57,38000.36,10.38%,1.02%,11.21%,1.14%,0.00%,1
1,2013,2,28,366981.48,409352.18,5163.61,1.28%,0.00%,10.23%,0.00%,0.00%,3
1,2013,3,31,374022.92,429193.12,19840.94,4.85%,0.00%,10.54%,0.00%,0.00%,1
1,2013,4,30,374405.67,463010.63,33817.51,7.88%,0.00%,12.55%,0.00%,0.00%,0
1,2013,5,31,454583.08,472722.82,9712.19,2.10%,6.15%,9.75%,0.00%,0.00%,4
1,2013,6,30,462007.68,472716.82,-6,0.00%,5.60%,7.74%,0.00%,0.00%,1
1,2013,7,31,467827.87,526299.13,53582.31,11.33%,1.87%,12.77%,0.00%,0.00%,3
1,2013,8,31,491830.62,481582.16,-44716.97,-8.50%,12.04%,10.17%,0.00%,8.50%,4
1,2013,9,30,487410.17,500610.98,19028.82,3.95%,6.67%,9.13%,0.90%,4.88%,3
1,2013,10,31,488143.99,541362.43,40751.45,8.14%,7.31%,16.42%,0.75%,0.00%,1
1,2013,11,30,508884.26,525864.73,-15497.7,-2.86%,2.15%,5.31%,0.00%,2.86%,4
1,2013,12,31,521226.68,521558.97,-4305.75,-0.82%,8.38%,8.44%,0.00%,3.66%,3
1,2014,1,31,511105.53,552551.23,30992.26,5.94%,4.04%,11.24%,1.94%,0.00%,4
1,2014,2,28,533760.66,545557.99,-6993.23,-1.27%,3.81%,5.89%,0.00%,1.27%,4
1,2014,3,31,535528.45,548610.62,3052.63,0.56%,14.70%,16.73%,0.00%,0.71%,1
1,2014,4,30,526886.64,528879.87,-19730.75,-3.60%,12.45%,12.78%,1.61%,4.28%,3
1,2014,5,31,525679.91,579745.77,50865.9,9.62%,1.39%,10.59%,1.84%,0.00%,1
1,2014,6,30,526029.18,615986.29,36240.52,6.25%,0.00%,13.11%,1.77%,0.00%,1
1,2014,7,31,532346.04,647235.14,31248.85,5.07%,1.10%,18.66%,0.59%,0.00%,1
1,2014,8,31,564381.75,665542.84,18307.7,2.83%,0.00%,12.91%,0.00%,0.00%,4
1,2014,9,30,642889.7,647186.79,-18356.05,-2.76%,12.15%,12.73%,0.00%,2.76%,4
1,2014,10,31,627836.41,692839.49,45652.7,7.05%,12.24%,20.47%,2.34%,0.00%,3
1,2014,11,21,708089.44,708089.44,15249.95,2.20%,0.00%,0.00%,0.00%,0.00%,5
